INDIRICI_ID	X1	Y1	X2	Y2	
1	3275809.40	4989497.97	3275809.40	4989497.97	
END					
MUSTERI_ID	TIP	X1	Y1	X2	Y2
112465	1	3476887.00	5182877.38	3476887.00	5182877.38
113033	1	3474405.90	5181382.36	3474405.90	5181382.36
114421	1	3474639.00	5181993.85	3474639.00	5181993.85
114992	1	3477869.70	5183161.29	3477869.70	5183161.29
116613	1	3475815.90	5181889.71	3475815.90	5181889.71
117630	1	3475362.80	5181514.97	3475362.80	5181514.97
119828	1	3474385.00	5181863.60	3474385.00	5181863.60
119903	1	3473622.10	5182262.05	3473622.10	5182262.05
119904	1	3473580.30	5182250.77	3473580.30	5182250.77
119905	1	3475265.20	5181320.29	3475265.20	5181320.29
119967	1	3474340.10	5182300.80	3474340.10	5182300.80
120030	2	3477493.90	5183896.27	3477493.90	5183896.27
120128	1	3474060.70	5182224.56	3474060.70	5182224.56
120149	1	3474203.80	5181979.26	3474203.80	5181979.26
120240	2	3478218.80	5182685.78	3478218.80	5182685.78
120242	2	3479423.30	5182731.13	3479423.30	5182731.13
120302	1	3476922.80	5179947.16	3476922.80	5179947.16
120304	1	3477733.10	5181268.95	3477733.10	5181268.95
120333	1	3476442.20	5179870.71	3476442.20	5179870.71
120338	2	3476270.90	5180274.77	3476270.90	5180274.77
120339	2	3476138.00	5181727.13	3476138.00	5181727.13
120404	2	3475300.50	5182450.24	3475300.50	5182450.24
120413	1	3477314.20	5182552.85	3477314.20	5182552.85
120428	1	3473880.50	5182223.82	3473880.50	5182223.82
120443	2	3475686.00	5181660.74	3475686.00	5181660.74
120478	1	3477862.20	5183156.08	3477862.20	5183156.08
120480	1	3476417.10	5183131.92	3476417.10	5183131.92
120483	1	3476735.10	5182857.96	3476735.10	5182857.96
120503	1	3475932.70	5181934.72	3475932.70	5181934.72
120550	1	3473137.90	5182333.00	3473137.90	5182333.00
120552	2	3475533.40	5180263.93	3475533.40	5180263.93
120576	2	3478979.60	5182150.94	3478979.60	5182150.94
120587	1	3476117.50	5182693.60	3476117.50	5182693.60
120609	2	3477082.20	5182328.97	3477082.20	5182328.97
120613	1	3478089.20	5183004.48	3478089.20	5183004.48
120651	1	3476768.30	5183153.72	3476768.30	5183153.72
120652	1	3477140.80	5182873.59	3477140.80	5182873.59
